ID,group,baseline,time,value
5344,D28,58.61,2,6.42
5344,D28,58.61,7,29.17
5344,D28,58.61,14,13.87
5344,D28,58.61,21,13.87
5344,D28,58.61,27,8.44
5344,D28,58.61,36,13.87
5344,D28,58.61,42,13.87
5344,D28,58.61,50,18.79
5344,D28,58.61,57,39.81
5344,D28,58.61,63,18.34
5344,D28,58.61,70,22.28
5344,D28,58.61,78,13.07
5344,D28,58.61,84,22.28
5345,D28,16.41,2,2.65
5345,D28,16.41,7,2.81
5345,D28,16.41,14,3.67
5345,D28,16.41,21,5.04
5345,D28,16.41,27,6.66
5345,D28,16.41,36,6.4
5345,D28,16.41,42,9.86
5345,D28,16.41,50,8.44
5345,D28,16.41,57,8.44
5345,D28,16.41,63,6.58
5345,D28,16.41,70,7.8
5345,D28,16.41,78,18.79
5345,D28,16.41,84,18.34
5346,D28,27.79,2,2.64
5346,D28,27.79,7,4.4
5346,D28,27.79,14,3.13
5346,D28,27.79,21,5.56
5346,D28,27.79,27,8.44
5346,D28,27.79,36,6.64
5346,D28,27.79,42,4.67
5346,D28,27.79,50,22.28
5346,D28,27.79,57,5.54
5346,D28,27.79,63,8.44
5346,D28,27.79,70,10.31
5346,D28,27.79,78,10.31
5346,D28,27.79,84,11.69
5347,D28,29.82,2,2
5347,D28,29.82,7,2.37
5347,D28,29.82,14,3.33
5347,D28,29.82,21,3.33
5347,D28,29.82,27,3.58
5347,D28,29.82,36,7.8
5347,D28,29.82,42,11.69
5347,D28,29.82,50,9.86
5347,D28,29.82,57,8.61
5347,D28,29.82,63,11.69
5347,D28,29.82,70,6.64
5347,D28,29.82,78,9.92
5347,D28,29.82,84,18.79
5348,D28,37.3,2,8.61
5348,D28,37.3,7,3.58
5348,D28,37.3,14,6.64
5348,D28,37.3,21,3.58
5348,D28,37.3,27,6.42
5348,D28,37.3,36,3.73
5348,D28,37.3,42,10.04
5348,D28,37.3,50,7.8
5348,D28,37.3,57,13.87
5348,D28,37.3,63,7.11
5348,D28,37.3,70,5.54
5348,D28,37.3,78,11.02
5348,D28,37.3,84,11.69
5349,D28,27.88,2,2
5349,D28,27.88,7,2.37
5349,D28,27.88,14,1.85
5349,D28,27.88,21,7.8
5349,D28,27.88,27,7.31
5349,D28,27.88,36,4.47
5349,D28,27.88,42,8.61
5349,D28,27.88,50,5.37
5349,D28,27.88,57,5.54
5349,D28,27.88,63,7.8
5349,D28,27.88,70,39.81
5349,D28,27.88,78,15.55
5349,D28,27.88,84,9.92
5350,D28,42.97,2,0.99
5350,D28,42.97,7,1.85
5350,D28,42.97,14,3.73
5350,D28,42.97,21,11.69
5350,D28,42.97,27,3.55
5350,D28,42.97,36,6.58
5350,D28,42.97,42,5.57
5350,D28,42.97,50,13.07
5350,D28,42.97,57,27.66
5350,D28,42.97,63,18.79
5350,D28,42.97,70,9.86
5350,D28,42.97,78,10.04
5350,D28,42.97,84,13.87
5351,D28,58.61,2,1.56
5351,D28,58.61,7,2.2
5351,D28,58.61,14,2.8
5351,D28,58.61,21,5.56
5351,D28,58.61,27,5.37
5351,D28,58.61,36,4.47
5351,D28,58.61,42,5.57
5351,D28,58.61,50,7.94
5351,D28,58.61,57,5.56
5351,D28,58.61,63,13.87
5351,D28,58.61,70,6.4
5351,D28,58.61,78,10.31
5351,D28,58.61,84,11.69
5352,D28,37.3,2,4.98
5352,D28,37.3,7,2.29
5352,D28,37.3,14,7.8
5352,D28,37.3,21,7.31
5352,D28,37.3,27,7.94
5352,D28,37.3,36,39.31
5352,D28,37.3,42,9.86
5352,D28,37.3,50,15.55
5352,D28,37.3,57,6.58
5352,D28,37.3,63,8.32
5352,D28,37.3,70,6.58
5352,D28,37.3,78,8.44
5352,D28,37.3,84,11.69
5353,D28,44.45,2,3.33
5353,D28,44.45,7,4.72
5353,D28,44.45,14,3.13
5353,D28,44.45,21,7.31
5353,D28,44.45,27,6.66
5353,D28,44.45,36,4.25
5353,D28,44.45,42,18.34
5353,D28,44.45,50,10.04
5353,D28,44.45,57,22.28
5353,D28,44.45,63,9.86
5353,D28,44.45,70,10.04
5353,D28,44.45,78,10.04
5353,D28,44.45,84,11.02
5354,D28,37.3,2,1.85
5354,D28,37.3,7,1.67
5354,D28,37.3,14,2.81
5354,D28,37.3,21,3.13
5354,D28,37.3,27,5.04
5354,D28,37.3,36,6.66
5354,D28,37.3,42,7.8
5354,D28,37.3,50,6.66
5354,D28,37.3,57,5.56
5354,D28,37.3,63,10.31
5354,D28,37.3,70,10.04
5354,D28,37.3,78,6.4
5354,D28,37.3,84,6.4
5355,D28,13.36,2,2
5355,D28,13.36,7,7.03
5355,D28,13.36,14,5.04
5355,D28,13.36,21,3.73
5355,D28,13.36,27,4.47
5355,D28,13.36,36,5.04
5355,D28,13.36,42,6.42
5355,D28,13.36,50,6.64
5355,D28,13.36,57,5.56
5355,D28,13.36,63,6.58
5355,D28,13.36,70,5.57
5355,D28,13.36,78,6.64
5355,D28,13.36,84,8.61
5356,D28,55.54,2,1.85
5356,D28,55.54,7,2
5356,D28,55.54,14,2.64
5356,D28,55.54,21,4.7
5356,D28,55.54,27,5.04
5356,D28,55.54,36,3.58
5356,D28,55.54,42,7.8
5356,D28,55.54,50,4.98
5356,D28,55.54,57,4.25
5356,D28,55.54,63,6.4
5356,D28,55.54,70,7.11
5356,D28,55.54,78,7.11
5356,D28,55.54,84,7.8
5357,D28,16.51,2,4.25
5357,D28,16.51,7,3.55
5357,D28,16.51,14,3.67
5357,D28,16.51,21,6.66
5357,D28,16.51,27,7.94
5357,D28,16.51,36,3.73
5357,D28,16.51,42,6.64
5357,D28,16.51,50,8.61
5357,D28,16.51,57,5.56
5357,D28,16.51,63,7.8
5357,D28,16.51,70,5.54
5357,D28,16.51,78,9.86
5357,D28,16.51,84,15.31
5358,D28,20.01,2,4.25
5358,D28,20.01,7,2.37
5358,D28,20.01,14,3.67
5358,D28,20.01,21,11.69
5358,D28,20.01,27,8.61
5358,D28,20.01,36,15.31
5358,D28,20.01,42,11.69
5358,D28,20.01,50,8.3
5358,D28,20.01,57,9.86
5358,D28,20.01,63,10.04
5358,D28,20.01,70,11.69
5358,D28,20.01,78,10.31
5358,D28,20.01,84,22.28
5359,D28,23.7,2,1.18
5359,D28,23.7,7,4.7
5359,D28,23.7,14,3.73
5359,D28,23.7,21,6.58
5359,D28,23.7,27,10.31
5359,D28,23.7,36,6.4
5359,D28,23.7,42,7.8
5359,D28,23.7,50,7.94
5359,D28,23.7,57,7.53
5359,D28,23.7,63,6.64
5359,D28,23.7,70,7.8
5359,D28,23.7,78,6.58
5359,D28,23.7,84,10.31
5360,D28,14.98,2,2.38
5360,D28,14.98,7,4.47
5360,D28,14.98,14,2.37
5360,D28,14.98,21,6.66
5360,D28,14.98,27,5.57
5360,D28,14.98,36,3.33
5360,D28,14.98,42,6.64
5360,D28,14.98,50,4.72
5360,D28,14.98,57,10.31
5360,D28,14.98,63,11.69
5360,D28,14.98,70,15.55
5360,D28,14.98,78,11.02
5360,D28,14.98,84,8.32
5361,D28,38.59,2,3.13
5361,D28,38.59,7,3.73
5361,D28,38.59,14,11.69
5361,D28,38.59,21,8.61
5361,D28,38.59,27,7.8
5361,D28,38.59,36,10.31
5361,D28,38.59,42,11.69
5361,D28,38.59,50,10.31
5361,D28,38.59,57,10.31
5361,D28,38.59,63,7.8
5361,D28,38.59,70,8.44
5361,D28,38.59,78,9.86
5361,D28,38.59,84,15.31
5362,D28,46.5,2,5.04
5362,D28,46.5,7,3.12
5362,D28,46.5,14,10.31
5362,D28,46.5,21,5.57
5362,D28,46.5,27,6.58
5362,D28,46.5,36,8.61
5362,D28,46.5,42,7.31
5362,D28,46.5,50,5.57
5362,D28,46.5,57,8.44
5362,D28,46.5,63,5.37
5362,D28,46.5,70,7.53
5362,D28,46.5,78,11.69
5362,D28,46.5,84,6.4
5363,D28,46.5,2,11.69
5363,D28,46.5,7,2.37
5363,D28,46.5,14,2
5363,D28,46.5,21,8.3
5363,D28,46.5,27,3.58
5363,D28,46.5,36,22.28
5363,D28,46.5,42,7.8
5363,D28,46.5,50,7.8
5363,D28,46.5,57,18.34
5363,D28,46.5,63,7.8
5363,D28,46.5,70,22.28
5363,D28,46.5,78,13.87
5363,D28,46.5,84,9.86
5426,D49,48.8,2,5.56
5426,D49,48.8,7,1.85
5426,D49,48.8,14,4.4
5426,D49,48.8,21,6.4
5426,D49,48.8,27,10.04
5426,D49,48.8,36,10.04
5426,D49,48.8,42,10.04
5426,D49,48.8,50,6.64
5426,D49,48.8,57,11.69
5426,D49,48.8,63,10.04
5426,D49,48.8,70,7.53
5426,D49,48.8,78,10.31
5426,D49,48.8,84,15.55
5427,D49,58.61,2,22.28
5427,D49,58.61,7,5.04
5427,D49,58.61,14,8.61
5427,D49,58.61,21,5.54
5427,D49,58.61,27,6.66
5427,D49,58.61,36,11.69
5427,D49,58.61,42,11.69
5427,D49,58.61,50,11.69
5427,D49,58.61,57,7.11
5427,D49,58.61,63,8.32
5427,D49,58.61,70,8.44
5427,D49,58.61,78,18.79
5427,D49,58.61,84,11.69
5428,D49,17.59,2,2.2
5428,D49,17.59,7,3.12
5428,D49,17.59,14,2.2
5428,D49,17.59,21,3.55
5428,D49,17.59,27,4.23
5428,D49,17.59,36,8.44
5428,D49,17.59,42,4.25
5428,D49,17.59,50,8.61
5428,D49,17.59,57,5.54
5428,D49,17.59,63,4.98
5428,D49,17.59,70,6.58
5428,D49,17.59,78,8.44
5428,D49,17.59,84,8.44
5429,D49,35.77,2,1.19
5429,D49,35.77,7,1.85
5429,D49,35.77,14,2.81
5429,D49,35.77,21,4.72
5429,D49,35.77,27,7.94
5429,D49,35.77,36,4.25
5429,D49,35.77,42,3.55
5429,D49,35.77,50,10.04
5429,D49,35.77,57,4.25
5429,D49,35.77,63,4.4
5429,D49,35.77,70,4.23
5429,D49,35.77,78,5.54
5429,D49,35.77,84,7.53
5430,D49,26.82,2,3.73
5430,D49,26.82,7,4.4
5430,D49,26.82,14,6.64
5430,D49,26.82,21,3.12
5430,D49,26.82,27,7.8
5430,D49,26.82,36,6.64
5430,D49,26.82,42,3.67
5430,D49,26.82,50,6.4
5430,D49,26.82,57,6.64
5430,D49,26.82,63,5.37
5430,D49,26.82,70,9.92
5430,D49,26.82,78,6.58
5430,D49,26.82,84,7.53
5431,D49,47.33,2,1.85
5431,D49,47.33,7,1.56
5431,D49,47.33,14,2.2
5431,D49,47.33,21,10.04
5431,D49,47.33,27,7.31
5431,D49,47.33,36,4.72
5431,D49,47.33,42,3.73
5431,D49,47.33,50,7.53
5431,D49,47.33,57,9.86
5431,D49,47.33,63,5.57
5431,D49,47.33,70,7.8
5431,D49,47.33,78,9.86
5431,D49,47.33,84,7.8
5432,D49,33.55,2,0.68
5432,D49,33.55,7,5.04
5432,D49,33.55,14,3.13
5432,D49,33.55,21,3.13
5432,D49,33.55,27,3.73
5432,D49,33.55,36,5.37
5432,D49,33.55,42,6.66
5432,D49,33.55,50,5.54
5432,D49,33.55,57,11.69
5432,D49,33.55,63,9.92
5432,D49,33.55,70,9.86
5432,D49,33.55,78,11.02
5432,D49,33.55,84,8.61
5433,D49,58.61,2,2.81
5433,D49,58.61,7,5.56
5433,D49,58.61,14,3.67
5433,D49,58.61,21,2.2
5433,D49,58.61,27,7.31
5433,D49,58.61,36,5.57
5433,D49,58.61,42,4.25
5433,D49,58.61,50,7.53
5433,D49,58.61,57,5.56
5433,D49,58.61,63,10.04
5433,D49,58.61,70,7.8
5433,D49,58.61,78,7.53
5433,D49,58.61,84,6.58
5434,D49,45.19,2,4.72
5434,D49,45.19,7,2.07
5434,D49,45.19,14,6.58
5434,D49,45.19,21,6.66
5434,D49,45.19,27,8.44
5434,D49,45.19,36,8.44
5434,D49,45.19,42,7.8
5434,D49,45.19,50,8.61
5434,D49,45.19,57,8.61
5434,D49,45.19,63,10.31
5434,D49,45.19,70,7.53
5434,D49,45.19,78,13.87
5434,D49,45.19,84,11.69
5435,D49,46.5,2,2.64
5435,D49,46.5,7,3.67
5435,D49,46.5,14,6.66
5435,D49,46.5,21,8.44
5435,D49,46.5,27,11.69
5435,D49,46.5,36,10.31
5435,D49,46.5,42,3.67
5435,D49,46.5,50,5.57
5435,D49,46.5,57,8.44
5435,D49,46.5,63,5.54
5435,D49,46.5,70,8.44
5435,D49,46.5,78,11.69
5435,D49,46.5,84,11.69
5436,D49,46.5,2,2.2
5436,D49,46.5,7,2.37
5436,D49,46.5,14,2.2
5436,D49,46.5,21,5.54
5436,D49,46.5,27,6.66
5436,D49,46.5,36,5.04
5436,D49,46.5,42,6.4
5436,D49,46.5,50,8.44
5436,D49,46.5,57,10.31
5436,D49,46.5,63,7.8
5436,D49,46.5,70,10.31
5436,D49,46.5,78,8.61
5436,D49,46.5,84,11.69
5437,D84,36.11,2,3.73
5437,D84,36.11,7,2.07
5437,D84,36.11,14,2.81
5437,D84,36.11,21,6.42
5437,D84,36.11,27,3.73
5437,D84,36.11,36,6.58
5437,D84,36.11,42,3.67
5437,D84,36.11,50,5.56
5437,D84,36.11,57,6.58
5437,D84,36.11,63,9.86
5437,D84,36.11,70,6.58
5437,D84,36.11,78,8.32
5437,D84,36.11,84,11.69
5438,D84,37.01,2,3.13
5438,D84,37.01,7,3.12
5438,D84,37.01,14,3.13
5438,D84,37.01,21,4.25
5438,D84,37.01,27,5.37
5438,D84,37.01,36,6.64
5438,D84,37.01,42,2.81
5438,D84,37.01,50,7.11
5438,D84,37.01,57,5.57
5438,D84,37.01,63,7.11
5438,D84,37.01,70,8.61
5438,D84,37.01,78,4.25
5438,D84,37.01,84,8.61
5439,D84,36.18,2,3.73
5439,D84,36.18,7,2.2
5439,D84,36.18,14,4.72
5439,D84,36.18,21,7.8
5439,D84,36.18,27,7.53
5439,D84,36.18,36,6.64
5439,D84,36.18,42,8.61
5439,D84,36.18,50,15.14
5439,D84,36.18,57,5.37
5439,D84,36.18,63,6.58
5439,D84,36.18,70,6.66
5439,D84,36.18,78,8.44
5439,D84,36.18,84,6.58
5440,D84,58.61,2,1.4
5440,D84,58.61,7,5.56
5440,D84,58.61,14,2.64
5440,D84,58.61,21,3.73
5440,D84,58.61,27,4.25
5440,D84,58.61,36,3.73
5440,D84,58.61,42,5.54
5440,D84,58.61,50,10.31
5440,D84,58.61,57,6.58
5440,D84,58.61,63,6.58
5440,D84,58.61,70,13.87
5440,D84,58.61,78,10.04
5440,D84,58.61,84,12.99
5441,D84,29.34,2,6.66
5441,D84,29.34,7,3.58
5441,D84,29.34,14,2.38
5441,D84,29.34,21,6.64
5441,D84,29.34,27,10.31
5441,D84,29.34,36,7.31
5441,D84,29.34,42,7.8
5441,D84,29.34,50,6.66
5441,D84,29.34,57,15.31
5441,D84,29.34,63,11.02
5441,D84,29.34,70,10.31
5441,D84,29.34,78,6.4
5441,D84,29.34,84,8.32
5442,D84,42.97,2,2.81
5442,D84,42.97,7,2.81
5442,D84,42.97,14,2
5442,D84,42.97,21,4.23
5442,D84,42.97,27,3.13
5442,D84,42.97,36,9.86
5442,D84,42.97,42,3.73
5442,D84,42.97,50,7.94
5442,D84,42.97,57,8.44
5442,D84,42.97,63,9.86
5442,D84,42.97,70,13.87
5442,D84,42.97,78,7.31
5442,D84,42.97,84,6.4
5443,D84,29.55,2,5.57
5443,D84,29.55,7,3.67
5443,D84,29.55,14,5.56
5443,D84,29.55,21,6.66
5443,D84,29.55,27,7.8
5443,D84,29.55,36,7.53
5443,D84,29.55,42,4.25
5443,D84,29.55,50,10.04
5443,D84,29.55,57,9.86
5443,D84,29.55,63,8.61
5443,D84,29.55,70,7.8
5443,D84,29.55,78,7.53
5443,D84,29.55,84,15.55
5444,D84,45.19,2,1.56
5444,D84,45.19,7,6.64
5444,D84,45.19,14,2
5444,D84,45.19,21,1.85
5444,D84,45.19,27,4.25
5444,D84,45.19,36,4.25
5444,D84,45.19,42,4.7
5444,D84,45.19,50,7.53
5444,D84,45.19,57,8.32
5444,D84,45.19,63,7.11
5444,D84,45.19,70,6.4
5444,D84,45.19,78,13.07
5444,D84,45.19,84,8.61
5445,D84,55.54,2,11.69
5445,D84,55.54,7,4.4
5445,D84,55.54,14,7.94
5445,D84,55.54,21,5.54
5445,D84,55.54,27,18.79
5445,D84,55.54,36,11.69
5445,D84,55.54,42,4.25
5445,D84,55.54,50,5.54
5445,D84,55.54,57,7.94
5445,D84,55.54,63,9.92
5445,D84,55.54,70,8.61
5445,D84,55.54,78,10.04
5445,D84,55.54,84,13.87